Date,AAPL,JPM,PFE,TSLA,CVX,DAL
24/05/2012,17.390926,26.447704,15.30631,6.056,69.971451,10.010543
25/05/2012,17.297714,26.081783,15.299393,5.962,69.132278,10.099366
29/05/2012,17.604725,26.182993,15.333959,6.338,70.097328,10.481311
30/05/2012,17.816999,25.661356,15.237172,6.082,68.272156,10.436898
31/05/2012,17.772696,25.809288,15.119638,5.9,68.747688,10.747789
01/06/2012,17.257727,24.859444,14.960633,5.63,67.419014,10.223721
04/06/2012,17.359245,24.135382,14.939895,5.576,67.537888,9.042351
05/06/2012,17.314327,24.906153,14.932981,5.582,67.474953,9.397652
06/06/2012,17.579817,25.747,15.147299,5.844,69.789627,9.424299
07/06/2012,17.587809,25.544577,15.168034,5.786,70.202202,9.131175
08/06/2012,17.852373,26.22193,15.30631,6.016,70.516869,9.22
11/06/2012,17.570892,25.552359,15.278646,5.824,69.866547,9.03347
12/06/2012,17.724401,26.291996,15.340873,5.932,70.446976,8.917998
13/06/2012,17.601347,26.704626,15.340873,5.954,70.020386,9.140059
14/06/2012,17.581966,26.977131,15.596668,5.878,71.27211,9.282176
15/06/2012,17.661945,27.272982,15.631235,5.982,72.957428,9.113413
18/06/2012,18.020342,26.953777,15.638151,6.368,72.34903,9.442063
19/06/2012,18.070486,27.545477,15.700374,6.418,72.768593,9.690772
20/06/2012,18.01911,28.378534,15.672721,6.756,72.467926,9.957249
21/06/2012,17.770853,27.646687,15.624324,6.438,69.943474,9.975012
22/06/2012,17.907129,28.020401,15.714201,6.758,70.237167,9.806244
25/06/2012,17.55859,27.498753,15.534448,6.622,69.286125,9.344356
26/06/2012,17.597345,27.802402,15.513708,6.322,70.593788,9.895067
27/06/2012,17.673332,28.635458,15.631235,6.392,71.726692,9.832891
28/06/2012,17.505676,27.934755,15.575929,6.282,72.34903,9.912831
29/06/2012,17.96558,27.817968,15.900861,6.258,73.775612,9.726303
02/07/2012,18.227684,28.246178,15.900861,6.08,74.027344,9.877302
03/07/2012,18.439636,28.167675,15.810983,6.132,75.083298,9.557537
05/07/2012,18.763575,26.990095,15.672721,6.246,74.146225,9.442063
06/07/2012,18.63867,26.613272,15.582834,6.198,73.474922,9.770715
09/07/2012,18.885088,26.660378,15.658888,6.298,73.048363,9.690772
10/07/2012,18.710354,26.888044,15.513708,6.254,72.642738,9.522006
11/07/2012,18.594069,27.154964,15.444573,6.302,73.321068,9.850655
12/07/2012,18.423948,26.723183,15.672721,6.54,73.446922,9.548656
13/07/2012,18.610685,28.316837,15.769508,6.85,74.132263,9.610831
16/07/2012,18.670362,27.547482,15.990731,7.192,74.670708,9.744068
17/07/2012,18.671293,27.468985,16.329494,6.67,75.125244,9.593065
18/07/2012,18.650364,27.445425,16.364063,6.43,75.439934,9.086764
19/07/2012,18.898315,27.052904,16.453936,6.454,76.111252,8.882467
20/07/2012,18.590065,26.613272,16.384796,6.358,76.355995,8.829172
23/07/2012,18.575605,27.037201,16.315662,6.132,75.488876,8.580463
24/07/2012,18.486088,27.264866,16.16357,5.968,74.335045,8.287343
25/07/2012,17.687792,27.610277,16.129,5.79,74.167206,8.411697
26/07/2012,17.685022,28.112719,16.239616,5.626,75.712662,8.358404
27/07/2012,18.001268,28.960573,16.474669,5.902,76.404938,8.367286
30/07/2012,18.304897,28.371792,16.391712,5.47,76.79657,8.411697
31/07/2012,18.788801,28.261883,16.619856,5.484,76.628716,8.57158
01/08/2012,18.667282,28.261883,16.703583,5.25,77.272079,8.42058
02/08/2012,18.697439,27.610277,16.689627,5.22,76.397957,8.19852
03/08/2012,18.940767,28.332531,16.940807,5.454,77.705635,8.251813
06/08/2012,19.151493,28.497395,16.926851,5.654,77.838516,8.322872
07/08/2012,19.101044,29.054789,16.564043,6.05,78.286064,8.278461
08/08/2012,19.068747,29.172548,16.626839,5.818,78.418938,8.340637
09/08/2012,19.177488,28.984127,16.654737,5.882,78.761589,8.056397
10/08/2012,19.207455,29.02338,16.703583,5.988,79.404922,8.047519
13/08/2012,19.46389,29.039097,16.550081,6.234,79.216133,8.225167
14/08/2012,19.516102,29.125439,16.731489,5.884,79.244095,8.242929
15/08/2012,19.489529,29.101885,16.773354,5.88,79.349831,8.225167
16/08/2012,19.659763,29.125439,16.759401,6.06,79.878494,8.020867
17/08/2012,20.02339,29.031227,16.598925,6.002,79.413269,8.109693
20/08/2012,20.549845,29.337397,16.682653,5.902,79.314575,8.402816
21/08/2012,20.269014,29.863386,16.529152,5.822,78.933952,8.624875
22/08/2012,20.66478,29.698534,16.536131,5.99,79.053764,8.464989
23/08/2012,20.471992,29.227495,16.564043,6.146,78.447563,8.12746
24/08/2012,20.490219,29.180391,16.752422,5.9,78.955101,8.091928
27/08/2012,20.875175,29.227495,16.668697,5.664,78.757698,8.047519
28/08/2012,20.847988,29.148994,16.640785,5.738,79.194733,7.727747
29/08/2012,20.8069,29.282459,16.717535,5.682,78.80706,7.647804
30/08/2012,20.510307,28.968433,16.633806,5.682,78.193787,7.594512
31/08/2012,20.552628,29.156839,16.647762,5.704,79.060822,7.683332
04/09/2012,20.853241,29.054789,16.591951,5.628,78.398224,7.603393
05/09/2012,20.706795,29.133287,16.689627,5.588,78.081017,7.887629
06/09/2012,20.893404,30.373665,16.982672,5.71,79.67408,8.171874
