AAPL,JPM,PFE,TSLA,CVX,DAL,Portfolio Ret,,,,,,,,,,
0.05012836,0.050804503,0.025697191,0.032443159,0.039465136,0.031548256,0.039968765,,,,,,,,,,
0.029098571,0,-0.003706428,-0.00973156,-0.006128907,0.019681039,0.011153215,,,,,,,,,,
0.004735114,0.027482753,-0.001592775,0.006857995,0.001842498,0.025256922,0.004740142,,,,,,,,,,
0.015396088,-0.049392721,-0.00319334,0.005023333,0.000102446,0.030411671,0.009165482,,,,,,,,,,
0.032684644,0.009135316,0.014815539,0.003929278,0.027036793,-0.012754168,0.019687025,,,,,,,,,,
-0.004774599,-0.027015917,-0.018553478,-0.022715958,-0.018686181,-0.020036036,-0.013073241,,,,,,,,,,
0.005343226,0.057283868,0.014869747,0.03300156,0.043070314,0.036240154,0.016237102,,,,,,,,,,
-0.057565323,-0.019042588,-0.008469905,-0.027546009,-0.00692032,-0.02440552,-0.038875013,,,,,,,,,,
-0.008338524,0.026921298,-0.004262246,-0.008377394,0.011185174,0.023256815,-0.006881007,,,,,,,,,,
-0.006191279,0.008715304,0.017465409,0.024924534,0.020487281,-0.00460845,0.007577896,,,,,,,,,,
0.032307853,0.033831708,0.015617214,0.018381571,0.006987512,0.027336529,0.024975684,,,,,,,,,,
-0.019912722,-0.031739222,-0.025635828,-0.010563479,-0.016796177,-0.053068508,-0.018823295,,,,,,,,,,
0.007089537,0.020393874,0.021495074,-0.009603488,0.021490215,0.014117665,0.004727572,,,,,,,,,,
0.010157791,0.079817594,0.028631926,0.027495564,0.020395716,0.009302295,0.018814263,,,,,,,,,,
0.000642391,-0.008954108,-0.001008996,0.037869099,0.006129616,-0.01516063,0.011357404,,,,,,,,,,
-0.000419756,-0.054036947,-0.028660552,-0.016880887,-0.0427658,0.001174204,-0.010509488,,,,,,,,,,
-0.020642868,-0.060786496,0.003627515,-0.016824431,-0.028679842,-0.022552769,-0.015251518,,,,,,,,,,
0.002267504,0.028035132,0.010293625,-0.00590382,0.023813153,-0.009650155,0.000971002,,,,,,,,,,
0.014141632,0.021758925,0.017762526,0.122763068,0.015094738,0.006042268,0.047794387,,,,,,,,,,
-0.007045534,-0.011997204,-0.011128303,-0.004631782,0.002823281,0.006005979,-0.006753352,,,,,,,,,,
-0.001275445,0.007916895,0.020640185,-0.032717608,0.012047602,-0.004801812,-0.007044022,,,,,,,,,,
0.016130476,0.022524699,0.010513145,0.01806419,0.010527251,-0.013325434,0.015079362,,,,,,,,,,
-0.027325401,-0.073449076,-0.037548576,-0.030614636,-0.042983061,-0.024692702,-0.030152164,,,,,,,,,,
-0.025779561,0.006127515,0.023001032,0.01446738,0.011631292,-0.048665059,-0.005267387,,,,,,,,,,
-0.001558868,0.016358673,0.010055385,0.07113973,0.014584787,0.042395494,0.023707179,,,,,,,,,,
-0.014033971,-0.022179189,-0.010055385,-0.012563731,-0.008254295,0.013741747,-0.01227424,,,,,,,,,,
0.024920272,0.004597774,0.004034102,0.021147475,-0.02769491,-0.007472182,0.019308515,,,,,,,,,,
-0.01049625,-0.03834032,-0.015213197,0.029332726,-0.013856625,-0.053928396,-0.000165988,,,,,,,,,,
-0.019314006,-0.031636084,-0.005122657,-0.036728115,-0.009645474,-0.040382181,-0.022588282,,,,,,,,,,
-0.00656607,0.0042548,0.003076682,-0.032591901,-0.022227646,0.010929109,-0.012398545,,,,,,,,,,
-0.015941967,-0.023460597,-0.029620051,-0.026104652,-0.022942024,-0.020591289,-0.021593148,,,,,,,,,,
0.020120918,-0.016858049,-0.003169323,0.009713377,0.007913106,0.00966218,0.012517108,,,,,,,,,,
-0.025610308,-0.035650249,-0.024097773,-0.019522031,-0.028081636,-0.022223375,-0.023419913,,,,,,,,,,
-0.009362448,0.00351751,0,0.006655071,-0.015695899,0,-0.002580038,,,,,,,,,,
0.033936266,0.023595818,0.034100032,0.028030487,0.037013394,0.042618367,0.032339661,,,,,,,,,,
-0.007793607,-0.020790655,0.016108712,-0.025191816,0.016774371,0.048597972,-0.007625354,,,,,,,,,,
0.023829149,0.081011899,0.033953194,0.030704847,0.05425597,0.04020628,0.028167914,,,,,,,,,,
0.014881396,-0.016604888,-0.001995395,-0.004285284,-0.009675021,0.048085959,0.006714931,,,,,,,,,,
0.00455201,0.059581353,-0.007013995,0.021245109,-0.001375586,-0.012994716,0.007276946,,,,,,,,,,
0.008457806,0.035848283,-0.002516916,0.033080394,0.011050607,0.023502799,0.014393175,,,,,,,,,,
-0.005255155,-0.008390726,0.019466409,0.01298907,0.014866563,-0.016393606,0.004467549,,,,,,,,,,
-0.004769066,0.022907467,0.011793759,-0.019693657,0.001532207,0.010569653,-0.006004553,,,,,,,,,,
0.004026947,-0.053772891,-0.013772992,-0.101500697,-0.021957624,-0.045407929,-0.032540706,,,,,,,,,,
0.007548325,0.029359526,0.018160189,0.004844188,0.019370865,0.038373878,0.009320396,,,,,,,,,,
-0.004532458,-0.034961964,-0.008303257,-0.020505194,-0.011383351,0,-0.01002221,,,,,,,,,,
-0.007762731,-0.023686522,0.017984084,-0.032077592,0.005321752,-0.061875562,-0.011822226,,,,,,,,,,
-0.022419673,0.007006222,0.004805105,-0.031737745,-0.030273648,0.019827241,-0.019448621,,,,,,,,,,
-0.003293184,0.007902586,0.013333763,0.003149609,-0.008591624,0.052580734,0.002882392,,,,,,,,,,
0.005473815,0.004084967,-0.005217184,-0.021901264,0.011868601,0.048845589,-0.003834787,,,,,,,,,,
0.003118333,-0.038029851,0.005217184,-0.00896867,-0.011367236,-0.058202285,-0.001607732,,,,,,,,,,
0.035317554,0.048014245,0.015023582,0.005390849,0.038846712,0.014002352,0.022110739,,,,,,,,,,
0.001262277,0.003409205,0.010199407,-0.011898464,0.016834435,-0.01871367,-0.001604954,,,,,,,,,,
0.005282684,0.034365547,-0.002309072,0.007228076,0.008311863,-0.013072195,0.004158582,,,,,,,,,,
0.011922447,0.003581129,0.009203725,0.004670388,0.011131928,-0.003595052,0.008869948,,,,,,,,,,
0.007902439,-0.016216478,-0.002752417,0.023730527,0.004454999,-0.01817103,0.010233144,,,,,,,,,,
-0.009614625,-0.01157153,-0.011085235,-0.002102313,-0.018884371,-0.007362161,-0.007534683,,,,,,,,,,
0.006140441,0.023309696,0.008325629,0.00768697,0.014150109,-0.003701506,0.006807027,,,,,,,,,,
-0.000296127,-0.005099648,-0.003229161,-0.005934736,-0.010006165,0,-0.0025402,,,,,,,,,,
0.015265333,0.050721633,0.015134181,-0.016949558,0.036632841,-0.006199601,0.004975039,,,,,,,,,,
0.005359797,0.006314808,-0.009145414,-0.01326422,-0.001722922,-0.003738265,-0.0031101,,,,,,,,,,
0.011040949,0.020671795,-0.007839055,-0.021521896,-0.009850463,0.039172562,-0.001631756,,,,,,,,,,
0.010399514,-0.009009611,-0.001390223,-0.007773498,-0.007267705,-0.001201138,0.002468708,,,,,,,,,,
-0.001587341,-0.001697914,0.011523722,0.012555556,0.010836013,-0.004819032,0.004994611,,,,,,,,,,
0.003573703,0.021023648,0.005484715,0.013486627,-0.003935206,-0.001208668,0.006858967,,,,,,,,,,
-0.001631269,0.016779545,-0.001824965,0.021845094,-0.011898895,0.04028969,0.006454488,,,,,,,,,,
-0.002749239,0.005169745,0.004101045,0.000708215,-0.026324677,0.029750333,0.000253991,,,,,,,,,,
-0.003756426,-0.025561744,-0.006844246,-0.214771614,0.010613044,-0.002257346,-0.068753546,,,,,,,,,,
0.011580658,-0.02852106,0.004568166,0.154589373,0.005920888,-0.013652014,0.053402988,,,,,,,,,,
0.01033028,0.045634569,0.001366256,0.007863736,0.001029953,0.021530468,0.008275012,,,,,,,,,,
-0.003174182,0.010616503,-0.005934422,-0.001866717,0.00093573,0.044939421,-0.002185819,,,,,,,,,,
-0.017570308,0.011576321,0.002743201,-0.005997019,-0.000373828,0.008538089,-0.009805061,,,,,,,,,,
0.016774939,0.007997938,-0.008713799,0.006370642,0.001121921,-0.012834566,0.008395054,,,,,,,,,,
-0.016513249,0,-0.002305333,0.023990817,-0.002713776,0.009641305,-0.00101378,,,,,,,,,,
0.060567384,-0.001594135,0.002765966,0.019859833,0.009419521,0.059997172,0.037751314,,,,,,,,,,
-0.004555141,-0.002929898,-0.004152335,0.034092214,-0.010638361,0.020865158,0.007884248,,,,,,,,,,
0.005942182,-0.007496713,-0.006958968,0.013386162,-0.024983482,0.021401455,0.006243188,,,,,,,,,,
0.012729556,-0.005389309,0.004644826,0.008149451,-0.005304524,0.035920818,0.010379793,,,,,,,,,,
0.007630363,0.007805344,-0.008375993,-0.017053619,-0.00280827,-0.020638813,-0.003381933,,,,,,,,,,
-0.000635479,0.008010576,0.006118933,0.017391743,-0.003205466,0.032637206,0.006818863,,,,,,,,,,
-0.002348099,-0.00133109,-0.009428993,0.022397727,0.008717661,0.018182382,0.004404447,,,,,,,,,,
0.00996939,0.019253986,0.004253822,0.029318061,0.017305535,0.01785738,0.01504821,,,,,,,,,,
0.009289497,-0.003663506,-0.011862644,0.020652045,0.011028698,-0.02781701,0.00815891,,,,,,,,,,
0.010420258,-0.007104723,0.004762068,-0.006309169,0.001498643,-0.001821296,0.004010072,,,,,,,,,,
0.016605081,0.011290662,-0.001901954,0.010388886,-0.000655108,0.001821296,0.011078946,,,,,,,,,,
0.034008633,-0.011554588,0.006168498,0.020152596,-0.003659818,0.011759412,0.024270102,,,,,,,,,,
0.000506747,-0.006624853,-0.004266544,-0.046490784,-0.010300233,-0.020900175,-0.015179642,,,,,,,,,,
0.018434006,0.018179441,0.011806481,0.012462216,0.010394187,0.023594445,0.015543939,,,,,,,,,,
0.01355652,-0.009971051,0.001407273,0.051975818,0.001033448,-0.019013311,0.022378796,,,,,,,,,,
-0.02341397,-0.013808022,-0.010367,0.012880214,-0.006455146,-0.010106134,-0.009699686,,,,,,,,,,
0.009081026,0.01591558,0.010367,0.017114611,0.014372462,0.009191585,0.011775096,,,,,,,,,,
